new_id,age_guess,gender_guess,zip,income,race
3740,31,male,60624,23004.0854,
3742,29,female,60639,41642.9274,white
3744,34,female,60644,26299.2288,
3747,17,male,60618,58005.5133,white
3750,15,male,60625,52037.0342,white
3752,11,male,60641,49558.7368,white
3754,17,male,60625,52037.0342,white
3755,15,male,60625,52037.0342,white
3761,23,female,60647,50830.9318,white
3762,57,female,60617,39216.4893,white
3766,13,male,60641,49558.7368,white
3770,12,male,60625,52037.0342,white
3771,42,male,60647,50830.9318,white
3778,70,female,60614,89740.5419,white
3791,3,female,60647,50830.9318,white
3794,24,female,60626,40808.2465,white
3819,44,female,60626,40808.2465,white
3828,70,female,60610,61110.0357,white
3830,11,female,60629,42864.0098,white
3833,6,female,60646,78555.3247,white
3836,3,female,60646,78555.3247,white
3837,35,male,60618,58005.5133,white
3839,63,female,60625,52037.0342,white
3851,68,female,60610,61110.0357,white
3873,11,male,60620,35720.8559,
3875,33,female,60605,74840.7761,white
3876,33,male,60605,74840.7761,white
3885,10,male,60626,40808.2465,white
3893,7,female,60646,78555.3247,white
3894,5,female,60646,78555.3247,white
3896,2,male,60646,78555.3247,white
3903,9,female,60634,57736.1576,white
3904,32,female,60640,43975.102,white
3917,44,female,60618,58005.5133,white
3919,9,male,60659,49521.1895,white
3920,7,female,60659,49521.1895,white
3955,7,male,60608,35282.9596,white
3958,4,female,60608,35282.9596,white
3964,9,male,60641,49558.7368,white
3965,6,female,60641,49558.7368,white
3979,8,male,60639,41642.9274,white
3980,10,female,60639,41642.9274,white
3990,5,female,60618,58005.5133,white
3991,3,female,60618,58005.5133,white
4006,10,female,60651,32715.9962,white
4019,37,female,60643,58104.9847,white
4020,6,male,60643,58104.9847,white
4044,51,male,60613,68426.0555,white
4054,75,female,60626,40808.2465,white
4062,31,male,60622,62490.8059,white
4065,10,male,60618,58005.5133,white
4066,8,female,60618,58005.5133,white
4068,42,male,60660,42405.2031,white
4070,3,female,60616,47561.8415,white
4077,1,female,60618,58005.5133,white
4080,32,male,60613,68426.0555,white
4086,70,female,60618,58005.5133,white
4091,2,male,60608,35282.9596,white
4092,69,male,60618,58005.5133,white
4095,38,male,60640,43975.102,white
4100,3,female,60613,68426.0555,white
4101,12,female,60638,60046.2161,white
4107,12,male,60640,43975.102,white
4109,10,male,60640,43975.102,white
4110,7,female,60644,26299.2288,
4111,10,female,60630,57285.3423,white
4113,5,male,60644,26299.2288,
4115,7,female,60630,57285.3423,white
4116,11,male,60625,52037.0342,white
4117,11,male,60625,52037.0342,white
4121,8,female,60643,58104.9847,white
4134,10,male,60656,59178.5106,white
4140,50,male,60657,78622.5332,white
4148,3,male,60626,40808.2465,white
4150,1,female,60626,40808.2465,white
4170,47,female,60643,58104.9847,white
4185,7,female,60638,60046.2161,white
4191,4,male,60613,68426.0555,white
4196,4,male,60638,60046.2161,white
4198,10,male,60620,35720.8559,
4204,34,female,60613,68426.0555,white
4229,62,female,60628,39591.7109,
4234,61,male,60628,39591.7109,
4245,5,female,60633,46089.2828,white
4248,5,male,60640,43975.102,white
4249,7,female,60617,39216.4893,white
4251,3,female,60640,43975.102,white
4253,11,male,60637,31645.489,white
4254,8,female,60637,31645.489,white
4275,37,female,60655,83897.8066,white
4277,35,female,60630,57285.3423,white
4281,5,male,60630,57285.3423,white
4284,3,male,60630,57285.3423,white
4292,36,female,60626,40808.2465,white
4302,50,female,60643,58104.9847,white
4316,49,female,60620,35720.8559,
4317,45,female,60641,49558.7368,white
4319,5,male,60633,46089.2828,white
4321,4,male,60633,46089.2828,white
4342,9,male,60617,39216.4893,white
4343,34,male,60614,89740.5419,white
4344,5,male,60614,89740.5419,white
4346,3,male,60614,89740.5419,white
4368,2,male,60641,49558.7368,white
4371,3,female,60630,57285.3423,white
4382,9,female,60629,42864.0098,white
4384,5,female,60655,83897.8066,white
4385,8,female,60655,83897.8066,white
4389,10,female,60655,83897.8066,white
4400,8,female,60640,43975.102,white
4403,30,female,60625,52037.0342,white
4411,4,male,60655,83897.8066,white
4413,51,male,60628,39591.7109,
4415,8,female,60626,40808.2465,white
4420,9,male,60629,42864.0098,white
4423,7,male,60629,42864.0098,white
4425,5,female,60629,42864.0098,white
4426,14,male,60629,42864.0098,white
4430,44,female,60625,52037.0342,white
4431,10,male,60625,52037.0342,white
4436,10,female,60629,42864.0098,white
4440,70,female,60611,85578.2508,white
4445,3,female,60622,62490.8059,white
4448,6,male,60616,47561.8415,white
4452,27,female,60640,43975.102,white
4464,16,male,60633,46089.2828,white
4465,3,male,60661,83416.8838,white
4470,15,male,60633,46089.2828,white
4472,10,male,60646,78555.3247,white
4475,33,female,60608,35282.9596,white
4476,9,female,60608,35282.9596,white
4486,38,male,60647,50830.9318,white
4495,49,female,60630,57285.3423,white
4502,51,female,60617,39216.4893,white
4503,31,male,60613,68426.0555,white
4509,27,male,60660,42405.2031,white
4510,11,male,60625,52037.0342,white
4532,4,female,60638,60046.2161,white
4536,70,female,60660,42405.2031,white
4548,38,male,60641,49558.7368,white
4554,16,male,60641,49558.7368,white
4558,25,male,60647,50830.9318,white
4559,6,male,60637,31645.489,white
4563,41,male,60639,41642.9274,white
4566,7,male,60646,78555.3247,white
4568,9,male,60618,58005.5133,white
4570,5,male,60646,78555.3247,white
4571,70,female,60657,78622.5332,white
4574,14,male,60647,50830.9318,white
4576,25,female,60645,49517.3061,white
4579,19,female,60641,49558.7368,white
4592,10,male,60647,50830.9318,white
4593,25,male,60651,32715.9962,white
4597,8,male,60631,74087.4356,white
4612,2,male,60660,42405.2031,white
4616,13,male,60630,57285.3423,white
4619,11,male,60630,57285.3423,white
4621,62,female,60643,58104.9847,white
4629,9,male,60646,78555.3247,white
4630,43,female,60646,78555.3247,white
4635,6,male,60630,57285.3423,white
4637,3,female,60630,57285.3423,white
4638,21,female,60631,74087.4356,white
4642,50,female,60625,52037.0342,white
4660,12,female,60634,57736.1576,white
4661,11,female,60634,57736.1576,white
4665,49,female,60643,58104.9847,white
4673,4,female,60618,58005.5133,white
4676,4,male,60645,49517.3061,white
4679,9,female,60618,58005.5133,white
4680,9,male,60618,58005.5133,white
4684,21,male,60634,57736.1576,white
4705,5,female,60630,57285.3423,white
4714,41,female,60614,89740.5419,white
4715,9,female,60614,89740.5419,white
4716,6,male,60614,89740.5419,white
4729,61,female,60618,58005.5133,white
4736,4,male,60606,83429.246,white
4741,8,male,60646,78555.3247,white
4742,7,male,60646,78555.3247,white
4748,4,male,60659,49521.1895,white
4751,2,male,60625,52037.0342,white
4757,11,female,60646,78555.3247,white
4771,39,male,60618,58005.5133,white
4781,9,female,60643,58104.9847,white
4782,7,male,60643,58104.9847,white
